supermercado,nombre,nombre_limpio,precio,url,seccion
ahorramas,Pavo trufado finas lonchas Serrano 2 x 60g,pavo trufado finas lonchas serrano 2 x 60g,1.65,https://www.ahorramas.com/frescos,frescos
ahorramas,Maletín jamón cebo 50% ibérico Lasencia 840gr,maletin jamon cebo 50% iberico lasencia 840gr,49.00,https://www.ahorramas.com/frescos,frescos
ahorramas,Maletín paleta de cebo campo 50% ibérica Lasencia pack 12 de 70g,maletin paleta de cebo campo 50% iberica lasencia pack 12 de 70g,45.00,https://www.ahorramas.com/frescos,frescos
ahorramas,Salchicha Wecken 300gr bockwurst,salchicha wecken 300gr bockwurst,2.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Palitos de mar reducidos en sal Pescanova 305g,palitos de mar reducidos en sal pescanova 305g,2.75,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso en palitos La Vaca Que Ríe pack 4 uds,queso en palitos la vaca que rie pack 4 uds,1.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Maletín Paleta Cebo Ibérico Legado 15X55G,maletin paleta cebo iberico legado 15x55g,45.00,https://www.ahorramas.com/frescos,frescos
ahorramas,Sandía baja en pepitas,sandia baja en pepitas,0.55,https://www.ahorramas.com/frescos,frescos
ahorramas,Pepino,pepino,1.59,https://www.ahorramas.com/frescos,frescos
ahorramas,"Plátano canario bolsa 1,2 kg aproximadamente","platano canario bolsa 1,2 kg aproximadamente",2.29,https://www.ahorramas.com/frescos,frescos
ahorramas,Tomate rojo rama,tomate rojo rama,2.19,https://www.ahorramas.com/frescos,frescos
ahorramas,Pimiento verde italiano,pimiento verde italiano,1.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Pimiento rojo lamuyo,pimiento rojo lamuyo,2.69,https://www.ahorramas.com/frescos,frescos
ahorramas,Tomate pera,tomate pera,2.09,https://www.ahorramas.com/frescos,frescos
ahorramas,Patata,patata,1.99,https://www.ahorramas.com/frescos,frescos
ahorramas,LOTE 1 kg de pechugas + 1 kg de jamoncitos + 1 kg de contramuslos de pollo,lote 1 kg de pechugas + 1 kg de jamoncitos + 1 kg de contramuslos de pollo,6.32,https://www.ahorramas.com/frescos,frescos
ahorramas,Sandía Fashion (baja en pepitas),sandia fashion (baja en pepitas),1.19,https://www.ahorramas.com/frescos,frescos
ahorramas,Pechuga de pollo,pechuga de pollo,7.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Melocotón amarillo,melocoton amarillo,2.95,https://www.ahorramas.com/frescos,frescos
ahorramas,Plátano canario Gabaceras,platano canario gabaceras,2.89,https://www.ahorramas.com/frescos,frescos
ahorramas,Banana,banana,1.39,https://www.ahorramas.com/frescos,frescos
ahorramas,Berenjena,berenjena,1.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Limón,limon,3.69,https://www.ahorramas.com/frescos,frescos
ahorramas,Tomate ensalada,tomate ensalada,1.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Paraguaya,paraguaya,2.95,https://www.ahorramas.com/frescos,frescos
ahorramas,Melón,melon,0.85,https://www.ahorramas.com/frescos,frescos
ahorramas,Nectarina,nectarina,2.89,https://www.ahorramas.com/frescos,frescos
ahorramas,Salmón por medios o enteros peso aproximado pieza 4kg,salmon por medios o enteros peso aproximado pieza 4kg,10.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Lubina de ración pieza 400g aproximadamente,lubina de racion pieza 400g aproximadamente,5.50,https://www.ahorramas.com/frescos,frescos
ahorramas,Boquerones,boquerones,6.99,https://www.ahorramas.com/frescos,frescos
