supermercado,nombre,nombre_limpio,precio,url,seccion
alcampo,Sandía Foodie.,sandia foodie.,9.54,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Pimientos rojos a granel,pimientos rojos a granel,4.99,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Arándanos vaso 500 g.,arandanos vaso 500 g.,4.98,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Lima a granel,lima a granel,2.08,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Cebolla dulce a granel,cebolla dulce a granel,2.49,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Batata a granel,batata a granel,3.99,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Limones malla de 1 kg.,limones malla de 1 kg.,2.99,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Manzana Fuji a granel,manzana fuji a granel,3.49,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"Frambuesas, tarrina de 170 g.","frambuesas, tarrina de 170 g.",2.42,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,ALCAMPO CULTIVAMOS LO BUENO Plátano de Canarias (Indicación Geográfica Protegida) bandeja 700 g.,alcampo cultivamos lo bueno platano de canarias (indicacion geografica protegida) bandeja 700 g.,2.49,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Pera conferencia a granel,pera conferencia a granel,3.89,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Pera conferencia cesta de 1 kg.,pera conferencia cesta de 1 kg.,2.48,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Aguacate maduro 335 gr. aproximados,aguacate maduro 335 gr. aproximados,3.69,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Berenjenas a granel,berenjenas a granel,2.29,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Melocotón rojo a granel.,melocoton rojo a granel.,3.99,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,ALCAMPO CULTIVAMOS LO BUENO Naranjas malla 2 kg.,alcampo cultivamos lo bueno naranjas malla 2 kg.,3.69,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,AUCHAN BIO Limones ecológicos Malla ALCAMPO CULTIVAMOS LO BUENO ECOLÓGICO 600 g.,auchan bio limones ecologicos malla alcampo cultivamos lo bueno ecologico 600 g.,2.58,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"Nectarinas amarillas, cesta de 1 kg.","nectarinas amarillas, cesta de 1 kg.",2.29,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,ZESPRI Kiwi Green a granel.,zespri kiwi green a granel.,4.99,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,ZESPRI Kiwi Green bandeja 500 g.,zespri kiwi green bandeja 500 g.,3.59,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Calabaza entera,calabaza entera,4.73,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Ciruela roja a granel.,ciruela roja a granel.,3.68,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Piña en rodajas FRITIFRESH 500 g.,pina en rodajas fritifresh 500 g.,3.09,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Pomelo rojo a granel,pomelo rojo a granel,2.65,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Manzanas pink lady 750 g.,manzanas pink lady 750 g.,3.49,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Mandarinas a granel,mandarinas a granel,2.24,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Tomate negro a granel,tomate negro a granel,2.99,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"Albaricoques, cesta de 1 kg.","albaricoques, cesta de 1 kg.",2.99,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Sandía negra baja en semillas,sandia negra baja en semillas,3.75,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Manzana Granny Smith a granel,manzana granny smith a granel,2.69,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"Melocotones rojos, bandeja de 1 kg.","melocotones rojos, bandeja de 1 kg.",2.49,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Limones a granel,limones a granel,3.29,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Kiwis 1 kg.,kiwis 1 kg.,4.18,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"TORRES Naranjas malla 1,5 kg.","torres naranjas malla 1,5 kg.",3.89,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Pimientos verde a granel,pimientos verde a granel,4.89,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Plátano macho para freir a granel,platano macho para freir a granel,1.50,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Manzanas gala a granel,manzanas gala a granel,3.29,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"ALCAMPO CULTIVAMOS LO BUENO Fresón, bandeja blanca 400g.","alcampo cultivamos lo bueno freson, bandeja blanca 400g.",3.49,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"Paraguayas, cesta de 1 kg.","paraguayas, cesta de 1 kg.",2.49,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Manzana Pink Lady a granel,manzana pink lady a granel,3.69,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,ZESPRI Kiwi Sungold a granel.,zespri kiwi sungold a granel.,6.99,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Manzanas gala 1 kg.,manzanas gala 1 kg.,2.59,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"Fresones, tarrina de 250 g.","fresones, tarrina de 250 g.",2.29,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Nectarina carne blanca a granel,nectarina carne blanca a granel,3.49,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Manzana lavada y cortada FLORETTE 80 gramos,manzana lavada y cortada florette 80 gramos,0.94,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"Moras, tarrina de 125 g.","moras, tarrina de 125 g.",1.95,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"ALCAMPO CULTIVAMOS LO BUENO ECOLÓGICO Plátanos bio con indicación geográfica protegida, bandeja 800 g.","alcampo cultivamos lo bueno ecologico platanos bio con indicacion geografica protegida, bandeja 800 g.",2.79,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Naranjas de zumo de 3 kg.,naranjas de zumo de 3 kg.,4.80,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"Limas, bandeja de 500 gramos","limas, bandeja de 500 gramos",2.69,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,"Nectarinas blancas, cesta de 1 kg.","nectarinas blancas, cesta de 1 kg.",1.99,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,ALCAMPO CULTIVAMOS LO BUENO Arándanos de montaña cubo 200 g.,alcampo cultivamos lo bueno arandanos de montana cubo 200 g.,2.99,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
alcampo,Tomate bola a granel,tomate bola a granel,1.99,https://www.compraonline.alcampo.es/categories/frescos/frutas/OC1701?sortBy=favorite,frutas
