supermercado,nombre,precio,url,seccion
ahorramas,Aguacate,"5,69€",https://www.ahorramas.com/frescos,frescos
ahorramas,Pera conferencia,"2,69€",https://www.ahorramas.com/frescos,frescos
ahorramas,Pepino,"1,89€",https://www.ahorramas.com/frescos,frescos
ahorramas,Naranja Fontestad,"2,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Manzana golden,"2,79€",https://www.ahorramas.com/frescos,frescos
ahorramas,Cinta de lomo adobada cerdo duroc,"8,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Tomate pera,"1,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Kiwi nacional,"3,89€",https://www.ahorramas.com/frescos,frescos
ahorramas,Limón,"2,49€",https://www.ahorramas.com/frescos,frescos
ahorramas,Salmón por medios o enteros peso aproximado pieza 4kg,"12,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Pollo limpio entero,"3,49€",https://www.ahorramas.com/frescos,frescos
ahorramas,Boquerones,"7,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Mango,"3,29€",https://www.ahorramas.com/frescos,frescos
ahorramas,Dorada de ración pieza 400g aproximadamente,"5,50€",https://www.ahorramas.com/frescos,frescos
ahorramas,Cebolla dulce,"2,89€",https://www.ahorramas.com/frescos,frescos
ahorramas,Magro de cerdo duroc en trozos especial guisos y estofados,"6,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Tomate ensalada,"2,29€",https://www.ahorramas.com/frescos,frescos
ahorramas,Manzana gala,"2,79€",https://www.ahorramas.com/frescos,frescos
ahorramas,Hamburguesa mixta vacuno-cerdo 150g,"1,60€",https://www.ahorramas.com/frescos,frescos
ahorramas,Piña premadurada,"1,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Melón El Abuelo,"2,59€",https://www.ahorramas.com/frescos,frescos
ahorramas,Gallo de ración,"9,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Pechuga de pollo,"7,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Ragout de añojo,"13,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Batata,"2,99€",https://www.ahorramas.com/frescos,frescos
ahorramas,Solomillo de cerdo,"11,99€",https://www.ahorramas.com/frescos,frescos
